id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365,calculated_host_listings_count
2595,2845,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,30.0,47,256,3
6848,15991,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,30.0,197,198,1
6872,16104,Manhattan,East Harlem,40.80107,-73.94255,Private room,30.0,2,83,2
6990,16800,Manhattan,East Harlem,40.78778,-73.94759,Private room,30.0,251,214,1
7097,17571,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,2.0,423,0,2
7801,21207,Brooklyn,Williamsburg,40.71880722045898,-73.9561767578125,Entire home/apt,30.0,12,196,1
8490,25183,Brooklyn,Bedford-Stuyvesant,40.68455584344908,-73.93963415175676,Entire home/apt,30.0,189,220,2
9357,30193,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,30.0,58,150,1
10452,35935,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,30.0,82,229,6
60673,249372,Manhattan,Harlem,40.81562,-73.94674,Private room,30.0,3,0,1
60680,292630,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,30.0,168,365,6
60794,293394,Manhattan,Upper West Side,40.79918,-73.96248,Entire home/apt,30.0,4,0,1
61406,297176,Manhattan,Harlem,40.80371,-73.95635,Private room,30.0,2,321,1
62925,306739,Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,30.0,173,83,2
63610,310670,Bronx,Eastchester,40.881,-73.83511,Private room,30.0,57,358,8
63657,170510,Brooklyn,Bedford-Stuyvesant,40.68253,-73.94295,Entire home/apt,30.0,266,0,2
64015,146944,Manhattan,East Village,40.72863,-73.9842,Entire home/apt,30.0,0,0,1
64314,314256,Brooklyn,Crown Heights,40.67634,-73.95143,Private room,30.0,46,350,1
64365,314582,Brooklyn,Crown Heights,40.67579,-73.95072,Private room,30.0,257,349,2
65615,320761,Brooklyn,Williamsburg,40.7106,-73.95178,Entire home/apt,30.0,56,0,1
65660,320538,Brooklyn,Williamsburg,40.70797,-73.94792,Entire home/apt,30.0,164,158,1
11943,45445,Brooklyn,Flatbush,40.63702,-73.96327,Private room,30.0,0,0,1
12192,46978,Manhattan,East Village,40.72296,-73.98383,Private room,30.0,316,13,2
12937,50124,Queens,Long Island City,40.74757,-73.94571,Private room,1.0,470,140,1
12940,50148,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,30.0,81,241,1
14314,56246,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,30.0,177,228,1
15385,60252,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,31.0,63,97,1
15396,60278,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,180.0,5,179,1
16338,63613,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,30.0,33,303,1
16580,64442,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,1.0,676,228,2
66008,322884,Brooklyn,Carroll Gardens,40.68028,-73.99328,Entire home/apt,30.0,67,334,1
66251,324460,Manhattan,East Village,40.72547,-73.98619,Entire home/apt,30.0,174,132,1
